timestamp   		id   decoded  score   llr_sd   snr   n_its   time_in_decode
251127_172300_13.7 2138       0    2.78    3.19    -4.0     0.0   0.007
251127_172300_13.8 2700       0    7.77    3.46    -9.0     0.0   0.008
251127_172300_13.9 1795       0    3.02    2.84     5.0     0.0   0.001
251127_172300_13.9 2099       1    4.63    3.26    -7.0     1.0   0.053
251127_172300_13.9 2042       1    7.00    3.00   -17.0     1.0   0.076
251127_172300_13.9 1976       1    6.56    2.90   -18.0     1.0   0.083
251127_172300_13.9 1975       0    8.69    2.83   -18.0     1.0   0.048
251127_172300_14.0 2041       0    6.25    2.87   -17.0     4.0   0.209
251127_172300_14.0 2699       0    5.93    2.80    -9.0     2.0   0.089
251127_172300_14.1 3058       1    8.47    2.73   -12.0     1.0   0.096
251127_172300_14.1 1756       1    5.99    2.72    -4.0     1.0   0.056
251127_172300_14.1 2702       0    2.88    2.56    -9.0     0.0   0.001
251127_172300_14.1 1973       0    3.22    2.53   -17.0     0.0   0.002
251127_172300_14.2 2098       0    3.34    2.67    -7.0     2.0   0.105
251127_172300_14.2 1792       0    3.54    2.80     5.0     7.0   0.289
251127_172300_14.2 1755       0    5.92    2.49    -4.0     1.0   0.081
251127_172300_14.3 2040       0    3.14    2.31   -17.0     0.0   0.001
